halte_ID,halte_Name,halte_City,halteLat,halteLon
B05768P,Tol Bekasi Timur 1,Luar Jakarta,-6.263808,107.01671
B06740P,Sbr. Jln. Barito II,Jakarta Selatan,-6.248808,106.795903
P00118,Kramat Sentiong,Jakarta Pusat,-6.18798,106.84595
B00308P,Dinas Olahraga Dan Pemuda,Jakarta Timur,-6.219715,106.86802
B02259P,Masjid Al Waqof,Jakarta Utara,-6.110646,106.91733
B02808P,Perumahan KFT 1,Jakarta Barat,-6.135093,106.72983
B05731P,Teuku Nyak Arief,Jakarta Selatan,-6.2312,106.7892
B02012P,Komdak 1,Jakarta Selatan,-6.222333,106.81407
B00073P,Asrama Marinir Marunda 1,Jakarta Utara,-6.114597,106.95034
B00082P,At Thahiriah 2,Jakarta Timur,-6.210011,106.93809
B01695P,Jln. Veteran 1,Jakarta Selatan,-6.253781,106.83581
B00202P,Budiwarman 2,Jakarta Timur,-6.279048,106.870363
B05109P,Simpang Raya Bekasi Rawa Kuning,Jakarta Timur,-6.190565,106.96723
B01493P,Jln. Pinang II Pondok Labu,Jakarta Selatan,-6.310414,106.79665
B06767P,Sbr. Masjid Al Iman Cipinang,Jakarta Timur,-6.222779,106.887229
B05550P,Sunter Icon,Jakarta Utara,-6.135417,106.85589
B04364P,Sbr. SDN Pulo Gebang 13,Jakarta Timur,-6.197029,106.96269
B01887P,Kec. Tanah Abang,Jakarta Pusat,-6.200098,106.815
B02691P,Ps. Timbul,Jakarta Barat,-6.17289,106.79538
B05485P,St. MRT Blok M 1,Jakarta Selatan,-6.244367,106.79823
B01428P,Jln. Olahraga 1 Raya Bogor,Jakarta Timur,-6.267006,106.86595
B00665P,GP Mall 1,Luar Jakarta,-6.259636,107.01988
B05215P,Simpang Waru Cemara,Jakarta Utara,-6.11862,106.91531
B01088P,Jln. Guru Saleh,Jakarta Selatan,-6.257895,106.76611
B01431P,Jln. Otista III Selatan,Jakarta Timur,-6.231786,106.86931
B04405P,Sbr. Semar,Jakarta Selatan,-6.310513,106.8045
B03202P,RSU Andhika,Jakarta Selatan,-6.344535,106.81428
B04735P,Simpang Budi Sakti Raya,Jakarta Barat,-6.188377,106.78328
