halte_ID,halte_Name,halte_City,halteLat,halteLon
B01012P,Jln. Cipulir 1,Jakarta Selatan,-6.237267,106.7754
B05448P,St. Jakarta Kota Baru,Jakarta Barat,-6.137749,106.81631
B03043P,Puskesmas Cilincing,Jakarta Utara,-6.103756,106.93943
B02103P,Kuningan Madya 2,Jakarta Selatan,-6.213358,106.83027
B03044P,Puskesmas Ciracas,Jakarta Timur,-6.311774,106.87472
B02020P,Komplek Beacukai Pondok Bambu,Jakarta Timur,-6.23585,106.89759
B05029P,Simpang Palmerah Barat Rawa Belong,Jakarta Selatan,-6.206758,106.78372
B05908P,Yaspen Islam Al Mamur Ciganjur,Jakarta Selatan,-6.345678,106.80344
B06219P,Jln. Inspeksi Pam,Jakarta Timur,-6.180363,106.9427
P00204,RS Harapan Bunda,Jakarta Timur,-6.301956,106.86803
B04887P,Simpang Kali Besar Barat,Jakarta Barat,-6.136879,106.812169
B00946P,Jln. Buah Cijantung,Jakarta Timur,-6.329411,106.86572
B02281P,Masjid At Tin,Jakarta Timur,-6.298547,106.88326
B01155P,Jln. Indraloka Gg. VIII,Jakarta Barat,-6.154231,106.77871
B01411P,Jln. Musyawarah Panjang Arteri,Jakarta Barat,-6.200859,106.76922
B01020P,Jln. Dahlia KDW,Jakarta Timur,-6.348905,106.88437
B03240P,Ruko Gading Kirana 2,Jakarta Utara,-6.146962,106.89798
B01168P,Jln. Jatinegara Timur III,Jakarta Timur,-6.218533,106.86864
B04348P,Sbr. SDN Kebagusan 01,Jakarta Selatan,-6.305229,106.82731
B03350P,SDN Cilandak Timur 01,Jakarta Selatan,-6.306334,106.81391
B01248P,Jln. Kelapa Hybrida 10,Jakarta Utara,-6.144495,106.90988
B04267P,Sbr. Ramayana Semper,Jakarta Utara,-6.127078,106.9171
