halte_ID,halte_Name,halte_City,halteLat,halteLon
P00233,St. Jatinegara 2,Jakarta Timur,-6.215601,106.86805
P00128,Lebak Bulus,Jakarta Selatan,-6.289413,106.77415
B01335P,Jln. Madrasah II Sukabumi Selatan,Jakarta Barat,-6.209608,106.78336
P00011,Bekasi Barat,Luar Jakarta,-6.250045,106.99167
B01415P,Jln. Nanggala Dewa Kembar,Jakarta Utara,-6.10741,106.92535
B02963P,Pos Pengampuan,Jakarta Barat,-6.199264,106.76162
B03089P,Raya Gading Bukit Indah,Jakarta Utara,-6.147947,106.89919
B02286P,Masjid Baitul Mukhlish Serdang,Jakarta Pusat,-6.155614,106.85854
B05012P,Simpang Meruya Ilir Srengseng,Jakarta Barat,-6.196942,106.75667
P00045,CSW 2,Jakarta Selatan,-6.239861,106.79783
B00959P,Jln. Bungur,Jakarta Selatan,-6.247708,106.7814
B05670P,Tanah Baru Cipedak,Jakarta Selatan,-6.363462,106.80684
B06543P,St. Manggarai,Jakarta Selatan,-6.210961,106.85129
B00270P,Cipinang Melayu Kalimalang 3,Jakarta Timur,-6.240143,106.88077
