halte_ID,halte_Name,halte_City,halteLat,halteLon
B02272P,Masjid As Sudairi,Jakarta Selatan,-6.220626,106.8591
B00824P,Jaha,Jakarta Selatan,-6.292428,106.81245
B05698P,Tempo Scan,Jakarta Selatan,-6.235112,106.82885
B02414P,Menara Mandiri,Jakarta Selatan,-6.223667,106.8071
B03413P,SDN Pondok Jagung 1,Luar Jakarta,-6.256261,106.65132
B06654P,Walikota Jakarta Timur 1,Jakarta Timur,-6.212327,106.94515
B06312P,Sbr. Gg. Elektro,Jakarta Utara,-6.114391,106.80278
B05134P,Simpang Sabar Raya Petukangan 1,Jakarta Selatan,-6.236754,106.75243
B05803P,Transvision Jln. Tebet Raya,Jakarta Selatan,-6.2295,106.84731
B00139P,Bidara Cina 2,Jakarta Timur,-6.22994,106.86709
B01882P,Kec. Pesanggrahan,Jakarta Selatan,-6.256912,106.7564
B02939P,Pool Blue Bird Puri 2,Jakarta Barat,-6.160742,106.72685
B04955P,Simpang Kramat Jaya Baru,Jakarta Pusat,-6.185568,106.85239
B05223P,Simprug 1,Jakarta Selatan,-6.223678,106.7902
