halte_ID,halte_Name,halte_City,halteLat,halteLon
B01846P,Kav Polri Blok E Jagakarsa,Jakarta Selatan,-6.314309,106.81633
B05950P,Jln. Andara Raya,Luar Jakarta,-6.327861,106.80061
B05693P,Telkom Grapari,Jakarta Pusat,-6.18222,106.83297
B04333P,Sbr. SDN Dukuh 01,Jakarta Timur,-6.287962,106.87417
B03710P,Sbr. Jln. H. Hanafi Cipinang,Jakarta Timur,-6.22869,106.8933
B00093P,Badan Diklat Kejaksaan RI,Jakarta Selatan,-6.304295,106.82095
B01253P,Jln. Kelapa Puyuh I,Jakarta Utara,-6.17497,106.90231
B04767P,Simpang Cilandak Tengah Raya 2,Jakarta Selatan,-6.291453,106.80187
B02044P,Komplek Kejari Tebet Dalam,Jakarta Selatan,-6.241417,106.84542
B05644P,Taman Rasuna Tower 17,Jakarta Selatan,-6.217105,106.83598
B05264P,SMAN 24,Jakarta Pusat,-6.210598,106.79631
B00868P,Jln. Aselih,Jakarta Selatan,-6.347277,106.79695
B01190P,Jln. Kaliabang Rorotan,Jakarta Utara,-6.128157,106.96325
B00854P,Jln. Anggrek Jagakarsa,Jakarta Selatan,-6.335708,106.81898
B03594P,Sbr. Gereja Sumber Kasih,Jakarta Selatan,-6.302784,106.78646
B06700P,Jln. Bahari Raya 1,Jakarta Utara,-6.130456,106.85084
