halte_ID,halte_Name,halte_City,halteLat,halteLon
P00247,Tanah Merdeka Arah Timur,Jakarta Timur,-6.307866,106.87389
P00174,Perumnas Klender,Jakarta Timur,-6.216689,106.93054
P00143,Pancoran Barat Arah Barat,Jakarta Selatan,-6.241672,106.8372
B01323P,Jln. Limo Jatinegara Timur,Jakarta Timur,-6.223388,106.86808
B00844P,Jln. Al Hidayah Basmol,Jakarta Barat,-6.163241,106.75058
B02600P,Ps. Ciputat,Luar Jakarta,-6.315627,106.74688
B02842P,Pintu Barat Ragunan 1,Jakarta Selatan,-6.310788,106.81622
B03860P,Sbr. Jln. Swakarsa III,Jakarta Timur,-6.244765,106.94258
B00328P,Duren Sawit,Jakarta Timur,-6.233341,106.91006
B06780P,Jln. Malaka III,Jakarta Timur,-6.226244,106.926968
B04962P,Simpang Kunir Kemukus,Jakarta Barat,-6.133731,106.81475
B03953P,Sbr. Klinik Win Medika,Jakarta Timur,-6.22016,106.89843
P00192,Pulo Gadung 1,Jakarta Timur,-6.183239,106.90907
