halte_ID,halte_Name,halte_City,halteLat,halteLon
P00281,Slipi Petamburan Arah Selatan,Jakarta Pusat,-6.201948,106.79998
B06183P,Jln. Anggrek Raya,Jakarta Timur,-6.205168,106.9229
B00561P,Gg. Siluman Cililitan Besar,Jakarta Timur,-6.264959,106.8747
B03090P,Raya Penggilingan,Jakarta Timur,-6.183068,106.93194
B01635P,Jln. Tali Kota Bambu Selatan,Jakarta Barat,-6.189326,106.79927
P00144,Pancoran Barat Arah Timur,Jakarta Selatan,-6.241571,106.83808
B03196P,RSIA Duren Tiga 2,Jakarta Selatan,-6.253509,106.84135
B02830P,Pharmin,Jakarta Pusat,-6.182988,106.81306
B05724P,Term. Rawamangun 1,Jakarta Timur,-6.198204,106.8902
B04617P,Sekolah Bahasa Polri,Jakarta Timur,-6.207629,106.89013
B02197P,Mampang 5,Jakarta Selatan,-6.24539,106.82584
B04786P,Simpang Danau Indah Raya,Jakarta Utara,-6.15041,106.87981
B04079P,Sbr. Masjid Raya Baitul Muttaqin,Jakarta Timur,-6.323614,106.86447
B01320P,Jln. Lembah Palem Pondok Kelapa,Jakarta Timur,-6.236358,106.93438
B04404P,Sbr. Seksi Dinas Pendidikan Makasar,Jakarta Timur,-6.275565,106.87668
