halte_ID,halte_Name,halte_City,halteLat,halteLon
P00138,Museum Fatahillah,Jakarta Barat,-6.13393,106.81209
P00025,Bundaran HI,Jakarta Pusat,-6.193021,106.823
B02892P,PMD,Jakarta Selatan,-6.26919,106.84609
P00052,Dukuh Atas 2,Jakarta Selatan,-6.203276,106.82377
B06034P,Masjid Cut Nyak Dien,Jakarta Pusat,-6.1874,106.8317
B06902P,Jln. Swasembada Timur 5,Jakarta Utara,-6.124986,106.893289
B05715P,Term. Pasar Minggu,Jakarta Selatan,-6.283048,106.84371
B05261P,SMAN 113,Jakarta Timur,-6.293268,106.90306
B02728P,Pengadegan Barat VII,Jakarta Selatan,-6.250143,106.85423
B03322P,SD Diakonia 1,Jakarta Utara,-6.112155,106.7893
B05579P,Taman BMW,Jakarta Utara,-6.125862,106.85843
B02178P,Malaka 1 Gg. 3 Rorotan,Jakarta Utara,-6.139309,106.95461
B01766P,Jembatan Serong,Jakarta Pusat,-6.182204,106.81814
B06851P,Sbr. Jln. Kelinci,Jakarta Selatan,-6.340334,106.804694
B00423P,Gg. Bidan Baru,Jakarta Timur,-6.327013,106.85027
B05627P,Taman Menteng 1,Jakarta Pusat,-6.19559,106.82999
B05934P,Yos Sudarso Kodamar 1,Jakarta Utara,-6.16205,106.881525
B04418P,Sbr. SMAN 10,Jakarta Pusat,-6.14688,106.82645
B05243P,SMA Angkasa 1,Jakarta Timur,-6.24975,106.88267
B03631P,Sbr. Jln. Albarkah I Cilandak,Jakarta Selatan,-6.285954,106.79961
B00224P,Bundaran Taman Gondangdia 1,Jakarta Pusat,-6.194297,106.833189
