halte_ID,halte_Name,halte_City,halteLat,halteLon
B00527P,Gg. Padi Pelita Cipinang,Jakarta Timur,-6.211832,106.8877
B05802P,Transvision,Jakarta Selatan,-6.240036,106.82842
B01277P,Jln. Kesadaran Pool Bus 1,Jakarta Utara,-6.182475,106.91309
B02864P,Plaza Kalibata,Jakarta Selatan,-6.256423,106.85566
B04582P,Sbr. Villa Ampera,Jakarta Selatan,-6.273031,106.81562
B00268P,Cipinang Melayu Kalimalang,Jakarta Timur,-6.240168,106.88473
B00512P,Gg. Marang,Jakarta Barat,-6.217246,106.74855
B03600P,Sbr. GOR Pondok Bambu,Jakarta Timur,-6.223572,106.90377
B06459P,Jln. Perjuangan Raya 2,Jakarta Utara,-6.136957,106.90819
B06418P,Sbr. Gg. Mushola Baburrahman,Jakarta Pusat,-6.179744,106.851689
B01839P,Kartika Candra,Jakarta Selatan,-6.228333,106.81878
B03062P,Puskesmas Petojo Utara,Jakarta Pusat,-6.168238,106.81088
B00367P,Flyover Pulo Gebang 2,Jakarta Timur,-6.210438,106.95062
B02085P,KPK,Jakarta Selatan,-6.207575,106.8302
