halte_ID,halte_Name,halte_City,halteLat,halteLon
B01488P,Jln. Petojo Barat V,Jakarta Pusat,-6.163077,106.81043
B05178P,Simpang Tj. Duren Timur 6,Jakarta Barat,-6.182362,106.78363
B04083P,Sbr. Menara Kelapa Gading,Jakarta Utara,-6.168817,106.91552
B03154P,RS Mitra Kelapa Gading,Jakarta Utara,-6.152389,106.89745
B02099P,KUA Kramat Jati,Jakarta Timur,-6.291901,106.87559
B00034P,Allianz,Jakarta Selatan,-6.209233,106.83076
B05096P,Simpang Radin Inten II Kalimalang,Jakarta Timur,-6.247574,106.92049
B01004P,Jln. Cilincing Baru Raya,Jakarta Utara,-6.106927,106.92672
B01732P,Jatinegara Timur,Jakarta Timur,-6.220486,106.86825
B05135P,Simpang Sabar Raya Petukangan 2,Jakarta Selatan,-6.236966,106.7526
B00077P,Asshomadiyah Medicare Centre 2,Jakarta Timur,-6.29557,106.89825
B01416P,Jln. Nangka,Jakarta Timur,-6.306392,106.89015
B03253P,Ruko Permata Senayan 2,Jakarta Selatan,-6.22148,106.79111
