halte_ID,halte_Name,halte_City,halteLat,halteLon
B03041P,Puskesmas Cengkareng,Jakarta Barat,-6.144546,106.72866
B06645P,Kantor Lurah Gandul,Luar Jakarta,-6.34007,106.79381
B06706P,Jln. Tebet Timur Dalam VIII J,Jakarta Selatan,-6.242064,106.85845
B05431P,St. Cikini Barat,Jakarta Pusat,-6.199614,106.84183
B01830P,Karang Asri 2,Jakarta Utara,-6.116073,106.77399
B03069P,RA Kartini,Jakarta Selatan,-6.282151,106.77315
B00958P,Jln. Bunga Cempaka II Cipete,Jakarta Selatan,-6.26868,106.80636
B05882P,Wira Purusa,Jakarta Timur,-6.232229,106.92264
B05686P,Tebet Barat Dalam,Jakarta Selatan,-6.239317,106.84535
B06268P,Rusun Harum Tebet,Jakarta Selatan,-6.235196,106.85195
B05637P,Taman Patimura,Jakarta Selatan,-6.232872,106.80081
B05309P,SMKN 22,Jakarta Timur,-6.294243,106.85554
B04711P,Simpang Balai Pustaka Timur Waru,Jakarta Timur,-6.196611,106.88629
B02022P,Komplek BKN Sumur Batu,Jakarta Pusat,-6.161675,106.87164
B04283P,Sbr. RS Hermina Podomoro,Jakarta Utara,-6.145177,106.86148
B05460P,St. Klender Muka,Jakarta Timur,-6.212928,106.89948
B03209P,RSUD Ciracas,Jakarta Timur,-6.345642,106.87358
