halte_ID,halte_Name,halte_City,halteLat,halteLon
P00059,Flyover Radin Inten,Jakarta Timur,-6.215982,106.92438
B06545P,Sbr. RSIA Tambak,Jakarta Pusat,-6.206658,106.84894
B00462P,Gg. H. Bunen 2,Jakarta Timur,-6.232848,106.88526
B00360P,Flyover Karet 2,Jakarta Selatan,-6.214808,106.81847
B04788P,Simpang Danau Sunter Barat Utara,Jakarta Utara,-6.140807,106.85704
B01154P,Jln. IKPN Bintaro,Jakarta Selatan,-6.25997,106.76787
B06651P,Jln. Karet Pasar Baru Timur 5,Jakarta Pusat,-6.208563,106.82011
B04256P,Sbr. Puskesmas Meruya Utara,Jakarta Barat,-6.199776,106.74153
B01040P,Jln. Dermaga Raya,Jakarta Timur,-6.219151,106.89969
B05435P,St. Cipete Raya 2,Jakarta Selatan,-6.278423,106.79716
B01048P,Jln. Dul Djaim Cipedak,Jakarta Selatan,-6.36178,106.80714
B05540P,Sudin Kebersihan Senen,Jakarta Pusat,-6.168882,106.84355
B04518P,Sbr. Swadaya Raya,Jakarta Timur,-6.228578,106.91633
B04423P,Sbr. SMAN 38,Jakarta Selatan,-6.335833,106.83481
B01351P,Jln. Mangga Besar 13 Raya,Jakarta Pusat,-6.147952,106.82669
B02201P,Man 15 Jakarta,Jakarta Timur,-6.34233,106.88636
B04201P,Sbr. Pesona Square,Luar Jakarta,-6.379679,106.84426
