halte_ID,halte_Name,halte_City,halteLat,halteLon
B03368P,SDN Grogol Utara 03,Jakarta Selatan,-6.214998,106.7777
B02997P,Pulo Gadung,Jakarta Timur,-6.183245,106.90868
B03101P,Romantis PIK Penggilingan,Jakarta Timur,-6.205114,106.92803
B02868P,Plaza Oleos,Jakarta Selatan,-6.29771,106.82965
B00383P,Gading Serpong 1,Luar Jakarta,-6.230729,106.64138
B06652P,Penggilingan 1,Jakarta Timur,-6.214459,106.93945
B03398P,SDN Meruya Utara 02 Pagi,Jakarta Barat,-6.199267,106.74166
B04678P,Senopati,Jakarta Selatan,-6.230687,106.80809
B01620P,Jln. Swadaya Pln,Jakarta Timur,-6.20965,106.90171
B01522P,Jln. Pulo Gundul,Jakarta Pusat,-6.186182,106.85155
B00158P,Blok E,Jakarta Pusat,-6.18497,106.81463
B06179P,Gg. Swadaya 2 G,Jakarta Utara,-6.133735,106.93576
B06685P,Jln. Bahari Raya 2,Jakarta Utara,-6.130551,106.85071
B05820P,UMJ 1,Luar Jakarta,-6.296065,106.76544
B06080P,Jln. Sunter Permai 2,Jakarta Utara,-6.131551,106.86248
B01689P,Jln. Tpa II,Jakarta Timur,-6.296656,106.89723
P00125,Latumeten Stasiun Grogol Arah Selatan,Jakarta Barat,-6.160376,106.79097
B05641P,Taman Puring,Jakarta Selatan,-6.240966,106.78873
B01553P,Jln. Sahabat Kamal,Jakarta Barat,-6.106197,106.70258
P00113,Kelapa Dua Sasak,Jakarta Barat,-6.205551,106.76953
B03757P,Sbr. Jln. Kramat Cipedak,Jakarta Selatan,-6.363399,106.80298
