halte_ID,halte_Name,halte_City,halteLat,halteLon
B00499P,Gg. Kunir II,Jakarta Barat,-6.133132,106.81435
P00154,Pasar Jatinegara,Jakarta Timur,-6.215744,106.86632
B01200P,Jln. Kapuas Cideng Barat,Jakarta Pusat,-6.175132,106.81166
B03893P,Sbr. Kebantenan IX,Jakarta Utara,-6.108601,106.93245
B03409P,SDN Pesanggrahan 10 Pagi,Jakarta Selatan,-6.259198,106.75694
P00295,Mangga Besar Arah Utara,Jakarta Barat,-6.15325,106.817536
B06666P,Kodim 0505 1,Jakarta Timur,-6.211958,106.94722
B02765P,Pertigaan Al-Baidho,Jakarta Timur,-6.295983,106.9
B06858P,Gg. Bulak I Rorotan,Jakarta Utara,-6.132931,106.955238
B02913P,Polsek Tanah Abang,Jakarta Pusat,-6.201325,106.809577
B06258P,Jln. A Lagoa,Jakarta Utara,-6.10907,106.90983
B06083P,Tebet Eco Park Selatan,Jakarta Selatan,-6.241601,106.85237
B02658P,Ps. Pedok,Jakarta Selatan,-6.234107,106.84435
B03583P,Sbr. Gelanggang Remaja Tj. Priok,Jakarta Utara,-6.138765,106.87197
B02038P,Komplek Hankam Cidodol,Jakarta Selatan,-6.227802,106.77836
B02336P,Masjid Jami At Taqwa 3,Jakarta Timur,-6.229352,106.89527
B00290P,Dammara,Jakarta Selatan,-6.25419,106.83146
B05872P,Kantor Walikota Jaksel,Jakarta Selatan,-6.249147,106.80791
P00108,Kebon Jeruk,Jakarta Barat,-6.194311,106.76887
B01730P,Jatinegara Kaum Raya Bekasi,Jakarta Timur,-6.203351,106.90407
B03137P,RS Gading Pluit,Jakarta Utara,-6.166419,106.91558
