halte_ID,halte_Name,halte_City,halteLat,halteLon
B03217P,RSUD Pesanggrahan,Jakarta Selatan,-6.258241,106.75706
B02284P,Masjid Baitul Hilmi Tomang,Jakarta Barat,-6.173897,106.79499
B00313P,Direktorat Jenderal Pajak,Jakarta Selatan,-6.224628,106.81558
B02072P,Komplek Wijaya Kusuma 3,Jakarta Timur,-6.229042,106.90486
B03385P,SDN Kota Bambu 03,Jakarta Barat,-6.188023,106.80801
B02739P,Perempatan Jln. Cempaka Putih Tengah XIII,Jakarta Pusat,-6.176256,106.87065
B01370P,Jln. Masjid Al Ikhlas,Jakarta Timur,-6.23727,106.93436
B06834P,Gg. Durian,Jakarta Selatan,-6.337381,106.834892
B01448P,Jln. Panca Warga IV,Jakarta Timur,-6.239508,106.88341
B02497P,Museum Bahari 1,Jakarta Utara,-6.127695,106.80845
