halte_ID,halte_Name,halte_City,halteLat,halteLon
B05781P,TPU Bungur,Jakarta Selatan,-6.247208,106.77889
B02804P,Perumahan Buddha Tzu Chi 1,Jakarta Utara,-6.107548,106.77192
P00117,Kota Harapan Indah 2,Luar Jakarta,-6.193912,106.97356
P00073,GOR Sumantri,Jakarta Selatan,-6.221618,106.832245
P00162,Pedati Prumpung,Jakarta Timur,-6.22016,106.87439
P00226,Slipi Kemanggisan Arah Utara,Jakarta Barat,-6.189906,106.79694
B00017P,Akper Fatmawati Pondok Labu,Jakarta Selatan,-6.313187,106.79931
B02352P,Masjid Jami Nurul Ain 2,Jakarta Timur,-6.227874,106.91942
B06125P,Rutan Salemba,Jakarta Pusat,-6.189042,106.860836
B04382P,Sbr. Sekolah Charitas Pondok Labu,Jakarta Selatan,-6.304955,106.79879
B03412P,SDN Pisangan Timur 10,Jakarta Timur,-6.204246,106.88248
B01833P,Karet Pedurenan 1,Jakarta Selatan,-6.221933,106.82093
B01925P,Kel. Kb. Kacang,Jakarta Pusat,-6.190837,106.81501
B02854P,Pintu Tol Cijago,Luar Jakarta,-6.380896,106.86742
