halte_ID,halte_Name,halte_City,halteLat,halteLon
B00039P,Ampera Garden,Jakarta Selatan,-6.288794,106.81818
B00610P,Gelanggang TB Simatupang,Jakarta Selatan,-6.289097,106.77909
B00148P,Bintaro Xchange,Luar Jakarta,-6.286813,106.72865
B04937P,Simpang Kepu Kesadaran,Jakarta Utara,-6.181283,106.91461
P00163,Pedongkelan,Jakarta Utara,-6.167962,106.88246
B02559P,Pancoran 1,Jakarta Selatan,-6.246552,106.84291
B03957P,Sbr. Komarudin Timur Lingkar Timur,Jakarta Timur,-6.196082,106.94392
B03344P,SDN Cibubur 01,Jakarta Timur,-6.354808,106.87871
B04688P,Setu 2,Jakarta Timur,-6.313833,106.91194
B02991P,Premier Terrace,Jakarta Timur,-6.329721,106.87537
B05594P,Taman Hutan Tebet,Jakarta Selatan,-6.238056,106.85332
P00255,Terminal Bekasi,Luar Jakarta,-6.249502,107.01339
B00894P,Jln. Bandengan Utara 1,Jakarta Barat,-6.13609,106.80391
B02446P,Midi Utama Danau Indah,Jakarta Utara,-6.150877,106.87961
B01559P,Jln. Sandratex 2,Luar Jakarta,-6.293633,106.76529
B06063P,Polsek BSD,Luar Jakarta,-6.296063,106.68131
B04485P,Sbr. SMPN 229,Jakarta Barat,-6.197581,106.77277
B00233P,Cawang Blue Bird 2,Jakarta Timur,-6.248866,106.87753
B02380P,Masjid Raya Nurul Hidayah,Jakarta Selatan,-6.253434,106.77626
