halte_ID,halte_Name,halte_City,halteLat,halteLon
B04381P,Sbr. Sekolah Bhineka Tunggal Ika,Jakarta Barat,-6.15058,106.80752
P00263,TU Gas,Jakarta Timur,-6.19241,106.90489
B01287P,Jln. KH Hasim,Jakarta Barat,-6.185382,106.73139
B05875P,Warung Jengkol,Jakarta Utara,-6.182362,106.9113
B00899P,Jln. Baros,Jakarta Selatan,-6.311046,106.784
B06657P,Pesakih 2,Jakarta Barat,-6.154977,106.71523
P00296,Mangga Besar Arah Selatan,Jakarta Barat,-6.153943,106.817952
B05798P,Transjakarta Pool Klender,Jakarta Timur,-6.205191,106.90301
B02623P,Ps. Kam 2,Jakarta Timur,-6.231603,106.87402
B04188P,Sbr. Persada Purnawira Halim,Jakarta Timur,-6.259198,106.88547
B02851P,Pintu Masuk PIK 2,Jakarta Timur,-6.203882,106.93521
B05413P,SPBU Pinang Ranti 2,Jakarta Timur,-6.291064,106.88845
B00109P,Bangau VI,Jakarta Pusat,-6.169278,106.84271
B00729P,H. Nawi Jln. Madrasah,Jakarta Selatan,-6.268026,106.79712
B01297P,Jln. Kramat I Rawabinong,Jakarta Timur,-6.298205,106.9054
B03424P,SDN Rorotan 03,Jakarta Utara,-6.144153,106.95627
B02452P,Midi Utama Rorotan,Jakarta Utara,-6.144886,106.95626
B01592P,Jln. SMPN 147,Jakarta Timur,-6.362267,106.88793
B06618P,Jln. Komplek Yuka,Jakarta Utara,-6.12596,106.91688
B03127P,RS Carolus,Jakarta Pusat,-6.196081,106.85054
B00830P,Jakarta Islamic Hospital,Jakarta Timur,-6.299909,106.86966
B04035P,Sbr. Masjid Alhikmah Duren Sawit,Jakarta Timur,-6.240048,106.912601
