halte_ID,halte_Name,halte_City,halteLat,halteLon
B00671P,Graha Dirgantara,Jakarta Timur,-6.255702,106.88296
B03626P,Sbr. ITC Fatmawati,Jakarta Selatan,-6.26343,106.7969
B03197P,RSIA Kemang,Jakarta Selatan,-6.285839,106.8188
B03329P,SD Paskalis 1,Jakarta Pusat,-6.177104,106.84827
B01705P,Jln. Warakas II,Jakarta Utara,-6.117016,106.88045
B03610P,Sbr. Grha Intirub,Jakarta Timur,-6.265218,106.8758
P00292,Harmoni Arah Selatan,Jakarta Pusat,-6.162687,106.81992
B02847P,Pintu Kawasan 1,Jakarta Timur,-6.189631,106.90646
B03358P,SDN Ciracas 01,Jakarta Timur,-6.326589,106.8639
B02727P,Pengadegan Barat VI,Jakarta Selatan,-6.250117,106.85397
B06650P,Jln. Lebak Bulus Raya,Jakarta Selatan,-6.289748,106.770854
B01009P,Jln. Cipinang Muara III,Jakarta Timur,-6.220029,106.8995
B03798P,Sbr. Jln. Mundu,Jakarta Timur,-6.294387,106.8895
B04339P,Sbr. SDN Grogol Selatan 01,Jakarta Selatan,-6.229029,106.77871
B01636P,Jln. Taman Alfa Indah,Jakarta Barat,-6.218503,106.75404
