halte_ID,halte_Name,halte_City,halteLat,halteLon
B03681P,Sbr. Jln. Damai,Jakarta Timur,-6.242744,106.90195
B01589P,Jln. SMAN 99,Jakarta Timur,-6.351933,106.8725
B00251P,Cilandak,Jakarta Selatan,-6.29195,106.81519
B02451P,Midi Utama Meruya Selatan 2,Jakarta Barat,-6.212464,106.73767
B02832P,PIK Avenue,Jakarta Utara,-6.108595,106.73978
B03000P,Pulo Gadung 5,Jakarta Timur,-6.182228,106.90901
B03363P,SDN Duren Sawit 02,Jakarta Timur,-6.22516,106.91453
B04548P,Sbr. The Pakubuwono Menteng,Jakarta Pusat,-6.187149,106.8263
B06067P,Sunter Muara 1,Jakarta Utara,-6.144331,106.85745
P00219,Senen,Jakarta Pusat,-6.178211,106.84251
B01173P,Jln. Jelambar Barat IIIB,Jakarta Barat,-6.150348,106.78321
B05652P,Taman Semanan Indah,Jakarta Barat,-6.163993,106.72545
B01613P,Jln. Supriyadi,Luar Jakarta,-6.173794,106.65622
B05864P,Waduk Rawabadak,Jakarta Utara,-6.127037,106.89523
B04537P,Sbr. Taman Tulang Bawang,Jakarta Pusat,-6.176908,106.80858
B06056P,Simpang Kawi Raya 2,Jakarta Selatan,-6.209438,106.83325
B05036P,Simpang Panjang Kb. Jeruk 1,Jakarta Barat,-6.198159,106.76922
