halte_ID,halte_Name,halte_City,halteLat,halteLon
B02122P,Lapangan Ros,Jakarta Selatan,-6.225111,106.8546
B06129P,BPPK Jakarta,Jakarta Pusat,-6.189843,106.858846
B00036P,Ampera 2,Jakarta Selatan,-6.292641,106.81563
B04619P,Sekolah Bhineka Tunggal Ika,Jakarta Barat,-6.150601,106.80763
B03173P,RS Restu Kasih,Jakarta Timur,-6.26606,106.86598
B01961P,Kemayoran Landas Pacu Timur 2,Jakarta Utara,-6.152025,106.85383
B00345P,Exit Tol Veteran Bintaro,Jakarta Selatan,-6.262649,106.76654
P00285,Sunter Kelapa Gading Arah Selatan,Jakarta Utara,-6.142894,106.89091
B06419P,Jln. Pulo Gundul 1,Jakarta Pusat,-6.183279,106.851529
B03477P,Sbr. Cipinang Jagal,Jakarta Timur,-6.21091,106.89553
B00822P,Jagal 1,Jakarta Timur,-6.190849,106.93465
B01604P,Jln. Summagung II Barat,Jakarta Utara,-6.172386,106.90189
B03936P,Sbr. Kel. Tambora,Jakarta Barat,-6.146476,106.80706
B02503P,Museum Proklamasi,Jakarta Pusat,-6.200007,106.83113
B01768P,Jembatan Sungai Landak 1,Jakarta Utara,-6.104743,106.93983
B06072P,Jln. Panti Asuhan,Jakarta Timur,-6.229585,106.87395
B06783P,Rusun Karet Tengsin,Jakarta Pusat,-6.205086,106.810223
B06741P,Jln. Prapanca Raya,Jakarta Selatan,-6.25612,106.803634
B05066P,Simpang Permata Meruya 1,Jakarta Barat,-6.195196,106.73953
B00002P,ABA,Jakarta Pusat,-6.194149,106.83939
