halte_ID,halte_Name,halte_City,halteLat,halteLon
B01311P,Jln. Kwitang Timur,Jakarta Pusat,-6.173788,106.85185
B04505P,Sbr. Standard Chartered,Jakarta Selatan,-6.217407,106.81934
P00033,Cawang UKI,Jakarta Timur,-6.250309,106.8736
B00591P,Gebu Minang,Jakarta Selatan,-6.225359,106.85576
B01249P,Jln. Kelapa Hybrida IV,Jakarta Utara,-6.146604,106.90973
B01804P,Kampung Melayu Besar 2,Jakarta Selatan,-6.225314,106.86292
B05224P,Simprug 2,Jakarta Selatan,-6.225306,106.78929
P00075,Grogol 2 Arah Utara,Jakarta Barat,-6.167253,106.78781
B02577P,Panti Sosial Bina Laras 1,Jakarta Barat,-6.146185,106.71808
B00142P,Bimbel Calistung,Jakarta Timur,-6.222933,106.93901
B00603P,Gedung Senam,Jakarta Timur,-6.224141,106.92339
B01068P,Jln. Gading Putih Raya,Jakarta Utara,-6.175202,106.9006
B00005P,ACE Hardware,Luar Jakarta,-6.387532,106.82738
B00516P,Gg. Mawar Kb. Jeruk,Jakarta Barat,-6.197361,106.7672
B03976P,Sbr. Komplek Lapan Pekayon,Jakarta Timur,-6.341359,106.85977
B02215P,Kuningan 18,Jakarta Selatan,-6.225239,106.83015
B06818P,Jln. Raya Inpres,Jakarta Timur,-6.286217,106.862878
B04737P,Simpang Bukit Duri Selatan 1,Jakarta Selatan,-6.218901,106.85316
B03074P,Ramayana KDW,Jakarta Timur,-6.351839,106.88432
