halte_ID,halte_Name,halte_City,halteLat,halteLon
B00908P,Jln. Batu Permata V,Jakarta Timur,-6.279588,106.86244
B03711P,Sbr. Jln. H. Jian 2B Cipete,Jakarta Selatan,-6.264625,106.8043
B05874P,Warga,Jakarta Selatan,-6.273295,106.84656
B02151P,London School,Jakarta Pusat,-6.205065,106.81662
B03886P,Sbr. Jl H Emuntipala I,Jakarta Timur,-6.277035,106.87761
P00147,Pasar Baru,Jakarta Pusat,-6.166129,106.83483
B04375P,Sbr. SDN Tengah 06,Jakarta Timur,-6.292621,106.86173
B00215P,Bunda Hati Kudus Jelambar,Jakarta Barat,-6.165552,106.78484
B06648P,Poltangan 1,Jakarta Selatan,-6.294464,106.84131
B00266P,Cipinang Lontar,Jakarta Timur,-6.214031,106.88836
B04433P,Sbr. SMAN 8,Jakarta Selatan,-6.218237,106.85982
B05086P,Simpang Pondok Baru Gongseng Raya,Jakarta Timur,-6.326243,106.85929
B03284P,Rusun Marunda 2,Jakarta Utara,-6.09826,106.96218
B03719P,Sbr. Jln. H. Minan Kamal,Jakarta Barat,-6.103727,106.7106
B02587P,Ps. Bintang Mas 1,Jakarta Barat,-6.206829,106.79052
B01594P,Jln. SPG 7,Jakarta Timur,-6.286157,106.9049
B01091P,Jln. H Mahid,Jakarta Timur,-6.292494,106.88881
B01070P,Jln. Gading Raya,Jakarta Utara,-6.165064,106.90626
B05035P,Simpang Panjang Duri Kepa,Jakarta Barat,-6.184205,106.76833
