halte_ID,halte_Name,halte_City,halteLat,halteLon
B06073P,SPBU Limo Cinere 1,Luar Jakarta,-6.343161,106.77878
B03077P,Ratu Prabu,Jakarta Selatan,-6.292014,106.80853
B00159P,Blok F,Jakarta Pusat,-6.188552,106.81249
B06833P,Jln. Raya Lenteng Agung,Jakarta Selatan,-6.335654,106.83535
B00090P,Azhari Islamic School 1,Jakarta Selatan,-6.305186,106.77789
B02603P,Ps. Enjo 1,Jakarta Timur,-6.215023,106.87779
B01182P,Jln. Jiban I Grogol Selatan,Jakarta Selatan,-6.233904,106.78375
B04211P,Sbr. PLN Kramat Jati,Jakarta Timur,-6.283302,106.8716
B00087P,Auto 2000,Jakarta Selatan,-6.25922,106.78922
B05559P,Superindo Bulak Kapal 1,Luar Jakarta,-6.24914,107.02344
B01854P,KBN Marunda 1,Jakarta Utara,-6.110057,106.94448
B01446P,Jln. Pam Lama I,Jakarta Pusat,-6.203921,106.80538
B01527P,Jln. Pura Agung Taman Sari,Jakarta Timur,-6.248963,106.89336
B01549P,Jln. Sabar 1 Petukangan,Jakarta Selatan,-6.240055,106.75249
B06819P,Jln. Anggrek Cililitan,Jakarta Timur,-6.265484,106.861274
