halte_ID,halte_Name,halte_City,halteLat,halteLon
B03186P,RSAU Dr Esnawan Antariska 2,Jakarta Timur,-6.256569,106.89139
B05837P,Univ. Satya Negara,Jakarta Selatan,-6.241863,106.78286
B02756P,Perpustakaan Umum Daerah,Jakarta Selatan,-6.222302,106.83261
B01519P,Jln. Pulau Sangiyang Lingkar Timur,Jakarta Timur,-6.193412,106.94376
B03551P,Sbr. Gg. Oxport Kebantenan,Jakarta Utara,-6.110926,106.92909
B03985P,Sbr. Koramil Pondok Gede,Luar Jakarta,-6.282825,106.91394
B05621P,Taman Margahayu 1,Luar Jakarta,-6.248137,107.02075
B02314P,Masjid Jami Al Ittihadiyah,Jakarta Barat,-6.16615,106.73488
B02353P,Masjid Jami Nurul Fauz,Jakarta Barat,-6.165887,106.72476
B05986P,Masjid Bahari 1,Jakarta Utara,-6.12411,106.8132
B02354P,Masjid Jami Nurul Iman Palmerah,Jakarta Barat,-6.204227,106.7875
B02209P,Mandiri Griya Mampang,Jakarta Selatan,-6.240269,106.82884
B05509P,St. Tj. Barat 2,Jakarta Selatan,-6.307681,106.8386
B01166P,Jln. Janur Indah XI,Jakarta Utara,-6.155924,106.90801
B04054P,Sbr. Masjid Jami Al Badariah Kemayoran,Jakarta Pusat,-6.1533,106.85895
B05824P,Univ. Borobudur 1,Jakarta Timur,-6.24157,106.89641
B01605P,Jln. Summagung II Timur,Jakarta Utara,-6.17247,106.90203
B04481P,Sbr. SD Angkasa 1,Jakarta Timur,-6.25276,106.890077
B02877P,PLN Duren Tiga 1,Jakarta Selatan,-6.254389,106.83416
