halte_ID,halte_Name,halte_City,halteLat,halteLon
B00138P,Bidara Cina 1,Jakarta Timur,-6.229954,106.86735
B01807P,Kampung Padaengan 2,Jakarta Timur,-6.189465,106.93484
B02517P,Mushola Nurul Huda Petukangan,Jakarta Selatan,-6.247018,106.75185
B03072P,Ragunan 2,Jakarta Selatan,-6.305283,106.81855
B00582P,Garuda Taman Mini 1,Jakarta Timur,-6.290384,106.88174
B00876P,Jln. Asshofa Raya,Jakarta Barat,-6.213287,106.78166
B06292P,Gg. Elektro,Jakarta Utara,-6.114359,106.80286
B03992P,Sbr. Kuningan Place,Jakarta Selatan,-6.213158,106.83499
B03883P,Sbr. Jembatan Pintu Satu,Jakarta Timur,-6.300665,106.88386
B01793P,Kali Besar Barat 1,Jakarta Barat,-6.135487,106.81131
B00486P,Gg. Harapan I Jagakarsa,Jakarta Selatan,-6.313476,106.81269
B00435P,Gg. Damai I Rorotan,Jakarta Utara,-6.150802,106.95604
B00178P,BPJS Kesehatan Sultan Hasanudin,Jakarta Selatan,-6.242517,106.80229
B04669P,Sekretariat 06 Wijaya Kusuma,Jakarta Barat,-6.155725,106.77781
B03751P,Sbr. Jln. Kemang Timur XI,Jakarta Selatan,-6.265417,106.8238
